chr5	131652159	168756701	37104543	*
chr12	125666531	125666531	1	*
chr1	129127623	156404650	27277028	*
chr2	122183309	152042458	29859150	*
chr11	78793602	80708628	1915027	*
chr6	1875124	41171080	39295957	*
chr10	7357839	17382964	10025126	*
chr22	23453015	25356853	1903839	*
chr8	96114869	96114869	1	*
chr5	33879231	106541617	72662387	*
chr8	104813726	138101795	33288070	*
chr13	63276919	114835307	51558389	*
chrX	38439902	46350633	7910732	*
chr3	168618801	184933910	16315110	*
chr1	173783452	235395006	61611555	*
chr1	106142107	124662546	18520440	*
chr1	22739785	51392778	28652994	*
chr17	20691746	78004725	57312980	*
chr13	10300113	35478122	25178010	*
chr11	91229836	106597567	15367732	*
chr7	116838763	158623267	41784505	*
chr2	159804729	199016101	39211373	*
chr11	2022720	77399547	75376828	*
chr6	109149102	157038263	47889162	*
chr2	3382735	60373521	56990787	*
chrX	77624115	130140787	52516673	*
chr4	112406057	182131562	69725506	*
chr20	34183344	40630920	6447577	*
chr16	19430095	64726442	45296348	*
chr1	72898549	101881707	28983159	*
chr10	22960732	22960732	1	*
chr4	1909836	8114369	6204534	*
chr9	42954014	78872573	35918560	*
chr12	93988797	119303143	25314347	*
chr7	15779220	111980408	96201189	*
chr12	50290368	87746937	37456570	*
chr10	43375424	120742490	77367067	*
chr15	41609752	85015949	43406198	*
chr3	30911011	120937013	90026003	*
chr4	33606097	84791308	51185212	*
chr18	13002927	71343272	58340346	*
chr2	214369027	240808453	26439427	*
chr3	139212942	164650188	25437247	*
chr8	16005782	68213402	52207621	*
chr14	15250455	104038305	88787851	*
chr9	89735067	134066633	44331567	*
chr6	46685237	91782433	45097197	*
chr19	994753	59084439	58089687	*
chr12	8207183	44565320	36358138	*
chrY	22460452	56929672	34469221	*
